species,reason
domesticcat,I identify with the affectionate and sweet personality of the Russian Blue house cat  and the fierceness and loyalty of the wolf. Additionally since I was very young I have loved cats dearly. 
raptor,I just love the animals above that I checked.
husky,"I have loved the look of husky's and german shepards, and a husky fitted my persona the best."
redfox,I identify with foxes because they are very clever and sexual and get what they want. I identify with otters due to my love of water and swimming. And I love jack Russell terriers. 
wolf,"Yes, I identify with it because i have always loved wolves. I feel as if part of me is a part of them. "
otherdog,"Poodle, as I remind myself of our pet poodle/general poodle-like stereotypes."
domesticcat,"Cat because while I seem lazy, if there's something I'm doing, I'm doing it with all my focus on that thing.  Dragon because of latent greed, and bat because they're nifty."
otherungulate,"Ungulate, Other - Donkey, more specifically. While I really do love horses, I feel that the humble donkey fits my personality more. Donkeys are animals that follow inertia pretty closely - When they're working, they work hard, but when they're not, it's not always easy to get them to start working. They are also more affectionate, intelligent, and curious animals than horses (I'm not quite as majestic as a horse anyway).
They can be downright handsome animals too, if you take proper care of them. So, in short, I love donkeys even more than horses."
kitsune,"Firstly I heavily identified with Red Foxes, mostly because of their personality and I am from England. A few years later, the designs I came up with for my fursona evolved and began to look like a hybrid of a Red Fox and a Maned Wolf. After looking into Maned Wolves a little more closely, I felt it ok to officially incorporate that species into my fursona."
snowleopard,Feline propertiys 
redfox,Foxes always stood out to me as a species I relate to well
raccoon,"Tiger: for strength and bravery
Raccoon: for stealth and cunning
Ram: for stubbornness and power"
jackal,"I just feel that is I was an animal that is the animal I would be, my build and personality goes with my choice."
arcticfox,I believe foxes do well in representing my personality and are also one of my favorite animals.
wolf,Its an amazing animal
otherdog,I identify with a strange dog like entity for no reason in particular. I also identify as a pine martin because people have told me (more that once) that I resemble on in my attitudes and lifestyle.
dinosaur,It just clicked into place for some reason.
dragon,"Though I have several characters, the most accurate representation of how I feel inside is my easter dragon + wolf hybrid. The dragon comes in as I am somewhat of a loner and someone that loves the mystic sides of life and its mysteries. Almost everything from eastern Asia attracts me, especially the more traditional aspects, especially the ones from China.

The wolf represents my attempts of not being such a loner, of having a 'family', my own pack, AKA my very tight and select group of people that I would give my life for."
riverotter,"The wolf is totem of mine and I think it fits my personality. It is aloof, yet loyal, it honors the merits of others, giving credit where credit is due. It is intelligent and reserved and yet outgoing with regards to those it loves most.

The Horse is my Chinese astrology sign.

I have also been compared to an otter by others who know me. The playful energy seems to line up with my more puckish traits."
otherfeline,Sloths are just very contented animals that live at their own pace and cats are curious and somewhat demanding creatures.
dragon,I'm a mixture of these creatures in behaviour and enjoy being them as your not typical hybrid of sorts (aka shapeshifter with the blood of those creatures into those forms.)
raccoon,Spiritually Raccoon
dragon,I just like fantasy creatures. Plus I love the design I've come up with and looks very close to my IRL self.
raccoon,"I'm primarily into the overall look, I really like the dark around the eyes and rings on the tail. I also really like there overall work ethic and willingness to accept any challenge placed in front of them to survive."
rat,"The rat, largely because it's my zodiac sign and something I feel incredibly connected to."
hyaena,It just makes sense to me.
wolf,"The way I see myself based on how my family is. (father's side wolves, mother's side collie/mixed)"
skunk,It is consider a pest.. And has an unwanted reputation.  But despite that they an endearing charm and color pattern.
dragon,i specifically identify with predatory winged animals because i really believe in personal freedom. i consider myself very selective with friends but a good friend to those i trust. i consider myself smart as well which is why i associate specifically with the dragon. a recent side of me that has surfaced is my fun loving and cuddly side. this is why my alternate sona is a harpy eagle.
