Species,Reason,Character status
dragon,"Most attractive, fits my personality, art depicting dragons got me into the fandom.",Primary character
"wolf, germanshepherd","Favorite breed of dog, smart, agile, loyal",Secondary Character
wolf,"Strong, loyal, smart, unbreakable.",Primary character
skunk,"I have always liked skunks and I just found that it would fit for me as a character, as skunks only spray (fight) as a last resort",Primary character
otherbird,I identify with it on a personality-level,Primary character
"otherfox, riverotter",It's who I am,Primary character
domesticcat,Matching qualities in personality. Although I've never had artwork done.,Primary character
arcticfox,Just what I imagine I'd be if I were an animal,Primary character
other,"These are my both favourite races/animals, so, mixing them up and done!",Primary character
"wolf, other",Muscular and other attributes. ,Primary character
polarbear,Just seemed like fun. ,Secondary Character
other,Because it best fits my person.,Primary character
leopard,I identify with this character.,Primary character
wolf,"I have always related well to dogs and canines in general, but I think wolves are particularly beautiful.",Primary character
cheetah,I identify a lot with this animal in behavior and physical attributes.,Primary character
dragon,I like dragons :D,Primary character
collie,Who the hell knows anymore.,Primary character
redfox,"I like and relate to the public(non-furry) view of foxes as tricksters, who survive by their intelligence and cunning in a world with much stronger things in it,  as well as their moral ambiguity, evil tricksters or lovable rouges being common. ",Primary character
snowleopard,FLUFFY FLOOFY KITTIES WITH SPOTS,Secondary Character
domesticcat,Felines are my favourite animals :),Primary character
domesticcat,"Warrior cats was a big part of my life. While I didn't identify as a furry back then, I think if I had known about furries and the fandom that I would have participated.",Deprecated character
wolf,Chose is a long time ago as a teen. It was my favorite animal as a kid and I guess I never grew out of the idea.,Primary character
other,"Big fan of order and everyone doing their part, always thought insects were cool, gravitated towards bees thanks to games like bioshock and videos like Dr. Bees.",Primary character
husky,Growing with dogs I have always identified with them.,Primary character
otherdog,"Corg.
Stubby corg
so cute",Primary character
"dragon, lizard",LOVE SCALIES,Primary character
husky,I dunno,Primary character
husky,Huskies are cute,Primary character
"wolf, tiger, dragon, other",It came to me,Primary character
otherungulate,World of warcraft taurens ,Primary character
greyfox,I like this specific animal and i identify with it.,Primary character
germanshepherd,Most relatable to my true personality,Primary character
wolf,I've always felt like this since my best friend growing up was my friend jewel(my dog) and being tied to my culture as well with the great wolf spirit,Primary character
other,Accurate depiction of my personality,Primary character
"otherungulate, other",I'm an internet lurker and shy in real life. I also grew up with on a farm and really like them.,Primary character
domesticcat,I like kittys,Primary character
other,"I like them. They have big eyes and are like a grown cat... maybe the ""beard"" have to do so, I think it gives them a bit of personality.",Primary character
"otherfeline, other","I've always identified with cats and when generation 2 of pokemon came out, espeon stood out to me.

I've based her more off off espeon's feline characteristics and the folklore espeon is based on (Nekomata)

I don't want to be too much of a copy of an Espeon as that is a copyrighted character obviously. I've had her for over 10 years though so I feel like I can't ",Primary character
raptor,"Media tends to present this species (owls) as intelligent or intellectual, introverted and curious. I personally believe I am at least a few of those things.",Primary character
domesticcat,I've always strongly identified with cats,Primary character
dragon,I've always had a love for Dragons . (Thanks Spyro! ),Primary character
raptor,owl :3,Primary character
other,Bull's are awesome.,Primary character
rabbit,They cool yo,Primary character
othermarsupial,"I like the species, and it represents me in some ways.",Primary character
wolf,idk,Primary character
"othercanine, otherfeline",Because I feel drawn that that particular species,Primary character
redfox,"Knots aside, they're often thought of as witty and smartassish, which fits me, and they're cute.
Also Kyell Gold writes a lot about foxes.",Secondary Character
